timestamp,nav_state_timestamp,failsafe_timestamp,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,armed_time,takeoff_time,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
6997616000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6998000000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6998504000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6999008000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
6999512000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7000016000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7000520000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7001024000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7001528000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7002032000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7002536000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
7003040000,6973336000,0,807960620,271089676,271482927,6970972000,6976280000,14,2,0,0,13,1,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,4,7
